蕾,雷
好,子
撬,毛
凑,奏
珑,龙
递,弟
湛,甚
刚,刂
丙,内
极,及
挤,齐
妯,由
铢,朱
河,可
即,卩
镍,臬
萍,平
惨,参
贴,占
然,然
崭,斩
喵,苗
穴,八
忏,千
始,台
掂,店
霰,散
嘎,戈
飙,风
榻,塌
光,兀
鱼,鱼
稷,夂
娉,甹
卤,乂
仰,卬
帛,巾
遂,遂
呲,此
魄,鬼
肱,厷
帽,冒
慈,心
狲,孙
荃,全
肉,人
摘,啇
笼,龙
芊,千
烬,尽
荷,何
桌,木
种,中
镁,美
认,人
敖,攵
帐,长
启,口
默,犬
噱,豦
修,彡
檀,亶
骷,古
肿,中
惊,京
蛾,我
俩,两
峡,夹
轻,巠
钗,叉
典,八
宾,兵
减,咸
摩,手
吓,下
啬,回
蒙,豕
憋,心
涡,呙
麸,夫
鹌,鸟
否,口
纫,刃
畐,畐
耳,耳
厥,欠
幅,畐
省,目
悦,兑
滨,宾
碟,枼
骜,马
苟,句
瑜,俞
侍,寺
越,戉
运,云
莅,位
顺,页
你,尔
克,儿
累,糸
镣,尞
腰,要
整,正
陌,百
姬,臣
麂,几
荤,军
亡,亡
扮,分
相,目
欲,欠
慌,荒
蒲,浦
汲,及
鹉,鸟
击,山
钼,目
赝,贝
驻,主
娜,那
瞑,冥
昱,立
置,直
盾,目
蚱,乍
执,丸
耷,耳
绣,秀
校,交
商,口
拈,占
囱,夕
粥,米
胀,长
皮,又
蔻,寇
撅,厥
支,又
艋,孟
屠,者
幔,曼
钧,匀
叽,几
扶,夫
声,尸
箱,相
羸,羊
若,右
炊,欠
炎,火
诂,古
排,非
胎,台
兜,儿
纯,屯
须,页
瞄,苗
哺,甫
娓,尾
羽,习
揍,奏
蚓,引
杭,亢
帜,只
裳,衣
咧,列
锘,若
火,火
携,隽
海,每
掌,手
涅,土
胯,夸
憨,心
漕,曹
厄,厄
岿,归
邓,阝
谣,摇
鹳,鸟
嬗,亶
趴,八
吆,幺
贷,贝
撕,斯
篓,娄
悬,心
樽,尊
表,衣
蝙,扁
燕,灬
瘟,昷
银,艮
羹,美
逮,隶
聊,卯
感,心
徨,皇
榨,窄
滚,衮
赳,丩
栅,册
盂,皿
皈,反
痦,吾
啡,非
亵,执
车,车
妵,主
俳,非
睇,弟
麟,粦
约,勺
臼,凵
濑,赖
魁,斗
秸,吉
仔,子
菂,的
牟,牛
兔,兔
膦,粦
璇,旋
壅,土
蹂,柔
漳,章
评,平
县,厶
肪,方
咳,亥
齿,齿
栓,全
歪,正
芈,十
犁,牛
脲,尿
冗,几
驭,又
佣,用
拦,兰
让,上
飒,风
活,舌
溶,容
抽,由
皂,七
宠,龙
撂,畧
督,目
腌,奄
辩,讠
畔,半
徜,尚
乞,乞
瑇,毒
趔,列
菇,姑
追,追
范,范
浪,良
磺,黄
乙,乙
茂,戊
簇,族
挡,当
隼,十
子,子
有,月
堕,土
怯,去
沸,弗
跻,齐
厌,犬
吁,于
综,宗
场,扬
较,交
禹,厶
烃,巠
闯,马
休,木
睁,争
糕,羔
擞,数
魑,离
遐,叚
绕,尧
钥,月
跳,兆
斐,文
诓,匡
跚,册
嶂,章
物,勿
妾,女
凡,凡
形,彡
痫,闲
烊,羊
乏,之
盏,皿
痘,豆
摁,恩
郫,阝
畴,寿
讦,干
告,口
几,几
炔,夬
硝,肖
撸,鲁
铩,杀
皑,岂
撑,掌
挠,尧
尉,寸
埂,更
爷,卩
泵,水
催,崔
饵,耳
据,居
澜,阑
侄,至
晗,含
频,頁
珥,耳
丁,丁
它,匕
渣,查
缢,益
悍,旱
磐,石
敝,攵
牡,土
劝,力
欧,欠
勋,力
酒,酉
课,果
鞋,圭
妙,少
苦,古
洽,合
倒,到
炸,乍
贺,贝
腾,马
嗡,翁
瞎,害
像,象
护,户
拌,半
嫂,叟
馋,免
途,余
犊,卖
缛,辱
随,有
孜,攵
俘,孚
拼,并
戎,戎
睡,垂
闪,人
镂,娄
伦,仑
蹩,足
恿,心
谢,射
钯,巴
盐,皿
勐,力
蔗,庶
铸,寿
狭,夹
勘,力
悠,攸
骛,马
闷,心
谏,柬
枕,冘
靶,巴
暧,爱
媒,某
罔,亡
琶,巴
鸟,鸟
胞,包
盈,皿
脾,卑
裕,谷
洁,吉
缸,工
侑,有
铭,名
橡,象
而,而
沥,历
鳟,尊
屐,支
硐,同
微,攵
濒,频
邦,阝
册,册
驼,它
役,殳
峪,谷
大,人
案,木
匍,甫
糜,米
乍,乍
抿,民
衩,叉
壳,冗
抉,夬
笔,毛
导,寸
隔,鬲
祁,阝
砚,见
袖,由
配,己
急,心
驿,又
峨,我
翎,羽
枢,区
簧,黄
貉,各
规,见
体,本
例,列
捋,寽
嚎,豪
磕,盍
涧,间
缱,遣
蜷,卷
荚,夹
剽,刂
葡,匍
沛,巿
量,里
但,旦
多,夕
罡,正
貂,召
铯,色
疙,乞
颌,页
茶,木
溉,既
顽,页
肆,聿
敦,攵
衙,吾
秧,央
惚,忽
低,氐
稠,周
挨,矣
焱,火
悚,束
垣,亘
淇,其
晴,青
猝,卒
瘩,荅
耍,女
鞍,安
铝,吕
所,斤
倜,周
缪,翏
纷,分
鹿,比
谁,隹
滇,真
近,斤
窥,规
瞌,盍
倍,咅
蟾,詹
的,勺
剑,刂
疡,扬
铰,交
派,派
虞,吴
扯,止
街,圭
餐,食
竭,曷
酩,名
鹑,鸟
给,合
棵,果
铐,考
钞,少
莲,连
昊,天
型,土
联,关
湄,眉
粑,巴
源,原
堡,土
蓄,畜
违,韦
史,史
辱,寸
芳,方
爨,火
椎,隹
期,月
茫,汒
适,舌
处,卜
猿,袁
算,廾
嗒,荅
亦,八
罩,卓
疲,皮
珏,玉
祉,止
片,片
钮,丑
檐,詹
蚝,毛
变,又
斓,阑
贝,人
禁,示
谅,京
称,尔
矽,夕
媚,眉
剃,刂
扬,扬
叫,丩
仁,二
诊,珍
诽,非
兹,幺
肇,聿
蜂,夆
悸,季
湮,土
恩,心
搅,觉
拎,令
菠,波
峰,夆
嘀,啇
液,夜
税,兑
觅,见
煞,煞
菜,采
冉,土
颐,页
标,示
涝,劳
鲟,寻
涤,条
晾,京
戈,戈
这,文
添,忝
引,引
蘸,焦
铛,当
袋,衣
曦,羲
阱,井
叶,十
碜,参
块,夬
隽,乃
雹,包
鲫,即
虹,工
噙,禽
潢,黄
挣,争
滩,难
铈,市
楼,娄
尺,尺
梭,夋
梨,木
璨,粲
闱,韦
码,马
砒,比
作,乍
屿,与
旮,日
沓,日
淖,卓
惫,心
喧,宣
慕,慕
锲,契
秣,末
驷,四
侮,每
赎,卖
颊,页
蟊,虫
茧,虫
涵,函
剪,刀
殒,员
炳,丙
蜒,延
叭,八
苏,办
吠,犬
殷,殳
渡,度
陀,它
娥,我
纵,从
舌,口
荼,余
玑,几
停,亭
逸,兔
斥,斥
喂,畏
窄,乍
忱,冘
谲,矞
谈,炎
砾,乐
棺,官
蚯,丘
畿,田
螨,满
揽,览
挈,手
唐,口
一,一
何,可
嘈,曹
妆,女
荜,毕
西,儿
顷,頁
班,班
业,业
闽,虫
淞,松
吹,欠
慷,康
踟,知
恃,寺
蔽,敝
咂,匝
肌,几
陪,咅
额,页
塬,原
台,台
碗,宛
斗,斗
桂,圭
奎,圭
恤,血
祸,呙
兰,三
琊,邪
盆,皿
聪,总
苇,韦
擅,亶
销,肖
胁,办
渐,斩
璃,离
如,口
杞,己
忽,心
射,寸
剌,刂
滟,艳
茎,巠
蚀,虫
鳞,粦
瑶,摇
功,力
助,力
汝,女
宏,厷
钳,甘
鸥,鸟
寓,禺
判,刂
坑,亢
制,刂
继,米
跺,朵
匪,非
裂,衣
套,镸
笠,立
茅,矛
怂,心
饭,反
拇,母
蜃,虫
玫,攵
湿,显
辘,鹿
虔,文
伏,犬
均,匀
阔,活
搂,娄
毛,毛
详,羊
筱,攸
定,走
躏,隹
敞,攵
猖,昌
展,衣
鳇,皇
骏,夋
旦,一
库,车
靛,定
嗝,鬲
聂,双
喑,音
泞,宁
包,包
掘,屈
攫,矍
蛛,朱
罪,非
左,工
稚,隹
神,申
恕,心
乓,乓
坐,土
邯,阝
拾,合
斑,文
濡,需
热,热
帖,占
俦,寿
政,攵
届,由
腺,泉
德,心
吾,口
弈,廾
达,大
惧,具
霆,廷
键,建
岑,今
东,小
芪,氏
涕,弟
嫦,常
莠,秀
蓬,逢
柏,白
陡,走
关,天
乃,乃
漓,离
指,旨
酝,云
躲,朵
肢,支
氮,炎
宇,于
古,口
抓,爪
援,爰
嫖,票
宙,由
现,见
梯,弟
殓,佥
赃,庄
蚩,虫
纸,氏
钕,女
吵,少
狍,包
棠,木
麽,么
来,来
尴,监
非,非
幻,幻
贡,贝
许,午
内,人
旁,方
钊,刂
顿,页
娱,吴
琵,比
芬,分
螃,旁
候,矢
葩,巴
嗜,耆
荒,巟
摆,罢
迩,尔
疣,尤
琢,豕
看,目
局,口
侦,贞
杨,扬
煮,煮
哮,孝
泸,卢
遁,盾
防,方
粗,且
窦,卖
恍,光
拮,吉
份,分
瓤,瓜
娆,尧
穹,弓
园,元
谜,迷
装,衣
姿,女
砝,去
碱,咸
菌,囷
臆,意
蛹,甬
觐,见
粒,立
咪,米
髹,休
鎏,金
起,己
沪,户
辞,辛
娃,圭
吨,屯
调,周
葳,威
冻,东
擘,手
件,牛
鼎,片
梦,夕
陨,员
睦,坴
倭,委
蠹,虫
托,乇
序,予
闺,圭
鳍,耆
贯,贝
耆,日
买,头
骼,各
酵,孝
凳,几
仪,义
妪,区
摊,难
愕,咢
魅,未
忠,心
况,兄
猕,弥
仲,中
掩,奄
勉,力
琳,林
芮,内
磊,石
易,勿
褥,辱
涪,咅
隙,小
张,长
拧,宁
是,是
讣,卜
醐,胡
便,更
绻,卷
黍,水
掐,臽
官,吕
砻,石
霸,月
毓,流
恸,动
祺,其
滕,水
韧,刃
圣,土
妗,今
酗,凶
趋,刍
阳,日
凌,夌
歌,欠
艳,色
妞,丑
饰,巾
袄,夭
铜,同
棱,夌
榷,隺
挟,夹
呻,申
殉,旬
昏,日
隧,遂
豌,宛
瑚,胡
阀,伐
梵,凡
邑,巴
哇,圭
槃,木
驹,句
愿,原
渔,鱼
锱,甾
跟,艮
巨,巨
兄,儿
瓣,瓜
岔,山
钒,凡
妨,方
责,贝
裘,衣
矶,几
仑,匕
喀,客
丐,丐
歼,千
栩,羽
畸,奇
漯,累
后,后
鲔,有
寇,攴
宣,亘
奶,乃
禳,襄
倘,尚
诠,全
笞,台
污,亏
褂,卦
叮,丁
俯,府
傀,鬼
饶,尧
愧,鬼
俺,奄
肺,巿
丰,丰
貔,比
仙,山
画,画
扭,丑
写,与
右,口
磅,旁
尖,大
晒,西
谒,曷
箩,罗
趁,珍
幼,力
煲,火
迸,并
宅,乇
杵,午
芜,无
疚,久
阂,亥
醺,熏
爆,暴
粳,更
旷,广
渴,曷
鄂,咢
珊,册
蜚,虫
放,攵
莽,廾
懋,心
铡,则
潸,月
翼,異
坎,欠
舒,予
逝,折
恙,心
娘,良
裆,当
荏,任
南,南
缰,畺
睫,疌
酉,酉
殇,扬
震,辰
躅,蜀
鬣,巤
摧,崔
狠,艮
瓮,瓦
显,业
逛,狂
守,寸
各,口
屑,肖
胫,巠
焕,奂
未,未
崂,劳
铮,争
拿,手
赢,贝
恒,亘
檬,蒙
唉,矣
颠,页
侠,夹
谚,彦
目,目
仯,少
狡,交
桅,危
汰,太
槁,高
琥,虎
映,央
午,午
乘,乘
砂,少
怒,奴
伉,亢
夷,弓
亳,乇
甸,田
斩,斤
孱,子
产,产
圆,员
溃,贵
舅,男
脱,兑
豹,勺
摔,率
挛,手
狙,且
乐,小
档,当
浊,虫
徂,且
屡,娄
熊,熊
其,其
静,争
缺,夬
萸,臾
憔,焦
孕,子
痕,艮
留,田
私,厶
朴,卜
獒,犬
匀,匀
碉,周
婺,女
唾,垂
郭,郭
拂,弗
童,里
醴,豊
酊,丁
汪,王
劫,力
筠,均
询,旬
霾,貍
弊,廾
将,寸
李,子
唆,夋
旋,疋
贩,反
澄,登
愉,俞
卓,早
邕,邑
弧,瓜
绿,录
癣,鲜
寥,翏
镳,鹿
彻,切
阿,可
挽,免
箍,匝
洋,羊
旗,其
甭,用
氪,克
霓,兒
艾,乂
带,巾
措,昔
众,从
啻,帝
罐,雚
舔,忝
阵,车
操,喿
鄱,番
寝,又
井,井
戚,小
甬,用
砖,专
鹭,鸟
腐,肉
她,也
华,华
蚕,虫
碧,石
螯,虫
痰,炎
觞,扬
槌,追
虐,虐
恨,艮
汉,又
祠,司
哂,西
春,日
别,别
续,卖
诉,斥
詹,言
龃,且
牵,牛
袒,旦
惟,隹
截,隹
景,京
洵,旬
盱,于
揖,咠
冽,列
耶,耳
泪,目
副,畐
臣,臣
清,青
馍,莫
鸯,鸟
冶,台
失,夫
睨,兒
焉,与
紊,糸
享,享
狄,火
靖,青
呢,尼
盖,皿
猜,青
仓,仓
呕,区
凼,凼
鬻,鬲
白,白
灾,火
养,养
唑,坐
粎,尺
细,田
逢,夆
迡,尼
趿,及
斢,黄
阉,奄
髍,麻
惩,心
鹃,鸟
憎,曾
菈,拉
眺,兆
倔,屈
鸫,鸟
纽,丑
洗,先
荥,水
吩,分
吭,亢
澈,攵
申,申
酥,禾
尽,尽
胚,丕
哲,口
氟,弗
仗,丈
耀,翟
篝,冓
锋,夆
暑,者
勾,厶
亢,几
投,殳
扣,口
掺,参
痿,委
嗔,真
下,下
钠,内
黏,占
止,上
扔,乃
疯,风
涌,甬
诤,争
妓,支
锝,寸
咸,咸
选,先
藐,貌
钛,太
承,承
骗,扁
撇,敝
荐,存
郎,郎
饨,屯
昨,乍
肤,夫
双,又
禺,厶
甥,男
粉,分
容,谷
坝,贝
趟,尚
钙,丐
铀,由
倦,卷
锁,锁
密,山
慎,真
鼓,支
股,殳
痧,沙
哭,犬
摭,庶
亘,旦
帧,贞
似,以
莹,玉
杉,彡
去,厶
骆,各
跪,危
斯,斤
趸,足
厂,厂
涨,张
懿,恣
夜,夂
濮,僕
莉,利
娄,女
遇,禺
鸭,鸟
榴,留
匆,匆
揠,妟
抨,平
杀,木
伶,令
孰,丸
枥,历
轰,双
烙,各
坪,平
同,口
色,巴
蹙,足
补,卜
殆,台
桑,木
帅,巾
逃,兆
褶,習
资,贝
嚷,襄
纰,比
榔,郎
龊,足
谦,兼
耸,耳
抢,仓
逻,罗
嗤,蚩
靴,化
擒,禽
客,各
孵,孚
旎,尼
渝,俞
维,隹
季,子
法,去
券,刀
阅,兑
岛,山
襟,禁
欺,欠
释,又
佐,左
渎,卖
扒,八
菏,河
辟,辛
概,既
膀,旁
迭,失
咙,龙
诌,刍
用,丨
扼,厄
矜,今
疽,且
价,介
虫,虫
兽,口
卸,缶
蛤,合
桉,安
者,日
伍,五
浏,刘
豉,支
绮,奇
轼,式
准,隹
溆,叙
祷,寿
死,匕
够,多
紧,糸
雇,隹
讪,山
蛟,交
鲨,鱼
再,冉
酷,告
夙,歹
庄,土
蕲,斤
游,子
阋,兒
辰,衣
宥,有
肋,力
韵,匀
蹿,窜
谕,俞
攒,赞
绌,出
行,亍
泗,四
驶,史
佼,交
赚,兼
泉,水
麾,毛
培,咅
叹,又
嘟,都
篷,逢
躯,区
丘,工
岁,夕
釉,由
开,廾
遨,敖
计,十
纶,仑
元,儿
幽,幺
葱,心
炼,柬
屉,世
揉,柔
炕,亢
忌,心
年,年
亩,田
嫁,家
烩,会
馄,昆
权,又
锹,秋
轫,刃
屈,出
墙,啬
碓,隹
望,王
儒,需
稼,家
巫,从
移,多
馆,官
胸,匈
亥,亥
府,付
獠,尞
莱,来
抅,勾
前,刂
耄,老
澳,奥
墅,土
蟀,率
姘,并
髯,冉
厮,斯
位,立
摈,宾
殃,央
孬,好
梗,更
遍,扁
瞰,敢
浃,夹
押,甲
臀,月
疏,流
酋,酉
铱,衣
兼,八
费,贝
五,五
柠,宁
打,丁
缜,真
篙,高
禄,录
侬,农
核,亥
崛,屈
属,禹
馏,留
瞅,秋
监,土
秉,巾
馨,香
撙,尊
燎,尞
鸡,鸟
凰,皇
镯,蜀
锌,辛
捌,别
怄,区
碑,卑
漱,欠
凛,禀
肮,亢
赖,负
矣,矢
谤,旁
酸,夋
剔,刂
颦,卑
趺,夫
沐,木
窈,幼
硅,圭
混,昆
僖,喜
阙,欠
邵,邵
淆,肴
毫,毛
藁,木
船,口
胱,光
胺,安
穆,彡
捆,困
占,口
谙,音
蜘,知
嘱,属
喝,曷
绅,申
家,家
睐,来
泄,世
酯,旨
涸,固
缇,是
垄,土
彝,廾
芒,亡
膊,尃
赴,卜
困,木
流,流
巩,凡
诚,成
磲,渠
盘,皿
暂,日
冤,兔
哼,亨
倚,奇
痔,寺
遏,曷
萌,明
掉,卓
萃,卒
蒜,示
痣,志
贻,台
浦,甫
雅,隹
捧,奉
俊,夋
烈,灬
审,申
赘,贝
宽,见
揣,耑
糟,曹
汁,十
浇,尧
伺,司
喉,侯
本,本
蝎,曷
藏,臧
橹,鲁
刹,刂
辈,车
恺,岂
纹,文
窿,隆
汀,丁
葫,胡
侥,尧
夭,大
饪,壬
统,充
缉,咠
滤,虑
固,古
赌,者
腊,昔
霍,隹
锈,秀
膝,桼
痒,羊
屁,比
斤,斤
站,占
贱,戋
枝,支
琪,其
协,办
滥,监
奔,卉
惭,斩
弩,弓
秆,干
脉,永
爪,爪
哀,口
碍,寸
迈,万
女,女
蝉,单
衔,钅
攘,襄
坦,旦
鲢,连
猴,侯
鞘,肖
膺,月
汗,干
棒,奉
璧,玉
蹦,崩
章,早
饴,台
埋,里
进,井
凤,又
萎,委
拱,共
鲅,犮
柳,卯
饽,孛
唱,昌
聚,聚
膳,善
柿,市
獐,章
宁,丁
黠,吉
戟,戈
奸,干
傍,旁
寸,寸
砧,占
壑,土
蓖,比
订,丁
壶,业
载,车
点,点
我,我
嘉,加
澍,寸
陇,龙
划,刂
赁,贝
钦,欠
练,柬
玻,皮
改,攵
该,亥
什,十
镬,蒦
嘹,尞
吗,马
礴,薄
蚌,丰
毋,毋
窝,呙
瘸,肉
懊,奥
矗,直
寒,寒
峻,夋
菀,宛
沽,古
慊,兼
喏,若
焓,含
評,平
菰,孤
忝,忝
岀,出
姾,全
跩,跩
梆,邦
袥,石
髂,客
漉,鹿
橛,厥
朕,关
妬,石
玭,比
摞,累
嵪,高
濛,蒙
務,务
嘁,戚
雙,双
魚,鱼
睆,完
窺,规
荇,行
咗,左
掛,卦
崾,要
雎,雎
芼,毛
寤,悟
哉,哉
兩,两
傢,家
箪,单
佚,失
哩,里
洇,因
吋,寸
喽,娄
寖,浸
琦,奇
囡,女
劵,劵
摓,逢
狝,尔
毎,每
煨,畏
阴,月
臊,喿
給,合
啫,者
醜,鬼
琮,宗
葚,甚
嘞,勒
焗,局
槿,堇
阡,千
疥,介
嗬,荷
咩,羊
疊,叠
䃼,卜
戋,戈
動,动
缶,缶
邗,干
吥,不
啰,罗
幺,幺
珂,可
膻,膻
復,复
喪,丧
氣,气
仨,三
夬,夬
瞳,童
铊,它
芏,土
坌,分
劵,力
藓,鲜
璐,路
蝈,国
亂,乱
騙,骗
鬆,松
瑷,爱
棣,隶
尕,小
庥,休
呸,丕
玥,月
跎,它
傩,难
腚,定
捻,念
呦,幼
屌,吊
贰,贰
殺,杀
嘚,得
綁,绑
涼,京
丟,丟
矾,凡
唔,吾
哔,毕
產,产
胂,申
仨,三
繌,傻
齁,鼻
娣,弟
別,别
蕃,番
嘤,婴
狃,丑
跹,迁
镸,肆
繼,续
續,卖
聿,肆
碼,马
發,发
腳,脚
褲,库
枵,号
彈,单
栆,枣
妧,元
圧,土
資,资
訊,讯
枚,矢
収,收
呃,厄
琨,昆
戆,赣
楞,楞
衱,及
揌,思
扸,片
儍,傻
蟮,善
牜,牛
啵,波
坭,尼
迊,币
煦,煦
砡,玉
吖,丫
疋,疋
縮,宿
岚,风
榉,举
唧,即
賣,卖
呬,四
沒,没
樣,羊
來,来
無,无
歡,欢
嗯,恩
終,终
祃,马
恁,任
內,内
於,于
東,东
亻,人
玖,久
愢,思
嘿,黑
哎,艾
膈,隔
垭,亚
啧,责
呗,贝
價,债
謝,射
們,门
麼,么
噠,大
購,勾
無,无
論,论
櫃,巨
態,态
對,对
滿,满
專,专
業,业
熱,热
問,问
復,后
題,题
覺,觉
煩,烦
會,会
認,人
這,这
點,点
樣,羊
說,说
時,时
裝,装
開,开
後,后
讓,让
驚,京
寶,宝
貝,贝
竪,竖
還,不
來,来
哟,约
抻,申
畊,井
嗨,海
诶,诶
昅,及
囔,囊
栂,母
踎,否
岋,及
砐,及
汓,子
厾,去
扱,及
啊,阿
㸞,片
嗖,叟
阫,不
哦,我
奥,奥
钑,及
峔,老
峩,我
亗,二
穵,乙
阰,比
醩,曹
珴,我
杷,巴
洄,回
牝,匕
痆,尼
侏,朱
犴,干
泷,龙
忕,大
笇,下
病,丙
捡,佥
挖,乙
佥,佥
尤,尤
焦,焦
偕,皆
铑,老
衰,中
抑,卬
陵,夌
驳,爻
哆,多
敬,攵
犹,尤
刽,刂
教,攵
龌,屋
擎,手
赵,赵
湾,弯
幢,童
霉,每
藤,滕
拟,以
借,昔
聘,甹
墁,曼
廉,兼
槐,鬼
青,月
凄,妻
饮,欠
志,心
弦,玄
咻,休
甩,甩
炅,火
罹,惟
膑,宾
盎,皿
鳌,鱼
苡,以
织,只
皱,皮
战,戈
鳅,秋
绛,夅
肚,土
研,开
忧,尤
壤,襄
橘,矞
悉,心
康,隶
奢,者
沅,元
杠,工
嵊,乘
蜗,呙
峋,旬
解,牛
竞,兄
吼,孔
查,旦
席,巾
殖,直
虾,下
玲,令
姹,宅
黔,今
掬,匊
溥,尃
致,攵
凸,凸
坯,丕
厘,里
扎,扎
昴,卯
杈,叉
弑,式
敲,攴
贸,贝
纺,方
伞,伞
炀,扬
瑛,英
纱,少
讹,化
魏,鬼
知,口
嚣,页
裹,果
唳,戾
头,大
诺,若
介,介
吃,乞
曳,曳
椅,奇
痤,坐
加,口
腥,星
草,早
险,佥
崖,厓
港,巷
媸,蚩
械,戒
妊,壬
硫,流
姝,朱
愤,贲
涯,厓
菅,官
痞,否
郅,阝
锂,里
逦,丽
侨,乔
谨,堇
俭,佥
梅,每
盥,皿
懑,心
辨,辨
绥,妥
埔,甫
龇,此
桎,至
鸨,鸟
座,坐
逆,屰
餮,食
磋,差
赋,武
远,元
潭,覃
沼,召
逞,呈
吝,口
剜,刂
钎,千
括,舌
袂,夬
佬,老
叼,刁
媳,息
睬,采
麒,其
褒,保
卿,艮
搭,荅
痹,畀
缝,逢
碳,炭
互,彑
窟,屈
夏,夏
甾,田
涔,今
庭,廷
厝,昔
施,也
麻,林
演,寅
舶,白
穗,惠
经,巠
挪,那
俳,非
学,子
腹,复
拣,柬
迁,千
鱿,尤
伪,为
佃,田
眯,米
泡,包
婧,青
哥,可
岗,冈
穿,牙
契,大
踮,店
第,弔
绘,会
抖,斗
醍,是
财,才
婕,疌
嫔,宾
浙,折
熙,灬
烯,希
塾,土
歹,夕
跷,尧
皋,十
更,更
短,豆
呈,王
凋,周
租,且
呱,瓜
诙,灰
鸣,鸟
皙,白
骂,马
邮,阝
儿,儿
蟥,黄
侯,矢
坤,申
惕,易
帘,巾
溜,留
牛,十
懈,解
鲍,包
筑,巩
簋,皿
氛,分
证,正
蔼,曷
靥,面
蝰,奎
腋,夜
蹋,塌
咽,因
柘,石
缓,爰
囤,屯
蛞,舌
橙,登
橱,厨
婿,胥
分,刀
献,犬
晟,成
机,几
镏,留
羡,次
珍,珍
惆,周
舐,氏
癖,辟
厢,相
挞,达
傧,宾
涛,寿
溅,戋
缄,咸
婉,宛
榈,吕
黎,水
诋,氐
摸,莫
颜,页
息,心
叔,又
熬,熬
猞,舍
洪,共
钜,巨
癌,山
锶,思
浚,夋
为,为
螂,郎
踵,重
铠,岂
吧,巴
专,专
睹,者
锻,段
予,予
銮,金
蚧,介
氓,民
谎,荒
还,不
卯,卯
髦,毛
棍,昆
削,刂
泌,必
党,兄
渠,木
踱,度
劾,力
糖,唐
抚,无
兖,允
直,且
泳,永
散,散
笈,及
徇,旬
捷,疌
炙,火
拐,另
稳,急
汞,水
剥,剥
粟,米
茄,加
窠,果
麓,鹿
咿,伊
崎,奇
送,关
窃,切
戴,異
涮,刷
丛,丛
圃,甫
基,土
蜓,廷
界,介
遮,庶
误,吴
爬,巴
津,聿
熟,熟
炒,少
霁,齐
弥,尔
颚,页
锥,隹
个,个
觊,见
金,王
嫩,攵
温,昷
纳,内
裤,库
艺,乙
踢,易
铺,甫
棉,帛
惜,昔
窒,至
甚,甚
葬,廾
值,直
慑,聂
倪,兒
荆,刂
忘,心
踉,良
避,辟
式,工
慧,心
常,巾
储,诸
瞧,焦
辛,辛
乎,乎
凯,几
烧,尧
暇,叚
嫡,啇
婶,审
获,犬
抄,少
晚,免
烹,烹
珀,白
啼,帝
址,止
鲜,羊
鹚,鸟
棕,宗
拷,考
邀,敫
厅,丁
醇,享
溺,弱
批,比
跛,皮
归,彐
袭,衣
飨,食
觎,见
灞,霸
弘,厶
堑,土
潜,替
窑,缶
凇,松
胭,因
蜇,虫
蝇,黾
采,木
丹,丹
嘻,喜
吉,口
棚,朋
筛,师
漫,曼
贤,贝
围,韦
匿,若
淫,壬
骤,聚
稿,高
毯,炎
龙,龙
鄙,阝
受,又
及,及
鬃,宗
尼,尼
祈,斤
坂,反
糨,强
跑,包
音,日
