review,trueL,preL
自己的钢厂下岗那么多人，还收购国外的！看看国内多少钢厂停了！？,1,1
用起来很好，价格也很合适，以后还会购买的，值得推荐的一款,0,0
透气舒服，款式也非常好看,0,0
宝贝一般到了都不新鲜,0,0
饭是真的难吃一点味儿也没有米饭是大白饭好歹浇点汁儿啊醉了吃两口就吃不下去了每次送饮料都塔马蜜桃汁！！！,1,0
特意穿了几天才来评价，又不是很短，还想买一条呢,0,0
宝贝质量特别好，包装挺漂亮的，客服态度也很满意，以后需要还会再来的,0,0
你丫补得耗死,1,1
质量摸起来不错，去健身房流汗太多，会弄到眼镜，所以买了，希望会有用,0,0
人家同不同居关你屁事。,1,1
超级好,0,0
急需整顿这些乱相，尤其是宗教界，什么什么协会？！,1,1
态度不怎么好,0,0
衣衣不错滑滑的很好��,0,0
味道棒棒哒，吃的瓜子中最好吃一款，这是第二次复购了，想要的亲不要犹豫了,0,0
是日本正品，有机会我还会再来买的,0,0
安装速度更快，冲着格力这个品牌来的,0,0
尼码死河里了看看去丑b,1,1
男生讨厌什么关我屁事，我自己喜欢就好。这碗男权主义毒鸡汤，小编你自己干了去跪舔_癌吧，就不要出来丢人现眼了，要知道男生可讨厌女人出来工作了呢/:>@</:>@</:>@<,1,1
就是有点油油的，应该很容易脏掉，但是卖家给的尺寸是6/3/2，我盒子买大了，我买了20个，这个平均大小大概就在4/2左右，可惜买了20个盒子都大的太多啦，不过物流还是很快的,0,0
首先，箱子太小，其次，箱子库存不知道多久了，铁都锈了，其次也不是abs塑料，就是臭的二次黑塑料，但东西买了也只有凑活用的份，没办法，和其他几个箱子比的话完全没法比,0,0
都陀马疯了……睡吧……,1,1
一下买了好几样，好便宜，以后会常光顾,0,0
就问你恶不恶心,1,1
滑滑梯颜色搭配的很漂亮，材质也很结实耐磨，卖家设计用心，安装师傅也是细心周到,0,0
假货，一点都刮不了,0,0
衣衣很美腻，女儿好喜欢，天天都说要穿，哈哈��,0,0
实物收到不如图片拍的好，塑料感极强，怕差评骚扰,0,0
真的都太喜欢啦,0,0
一言难尽，反正十分失望,0,0
实物与图片相符，很时尚大气，款式超级好看，显身材，颜色也很正哦,0,0
裤子膝盖有一大条缝接头，直接没法穿，问客服也不理人，服务态度太差了,0,0
玩一两下就容易松动，差,0,0
零食是每个人都喜欢吃的食物，特别是孩子，一收到货立马就吃了两包，而且价格也划算，还会继续回购,0,0
睡您蚂币起来嗨,1,1
效仿了逼，杀比者本事就用些，枸矢不如爆炸,1,1
看这还可以大小刚好,0,0
还送了一个淘米框,0,0
对比了很多款，还是选了它,0,0
啥差吧你，自己没兴趣还不让别人喜欢,1,1
质量真的挺好，我不是拖，我这条裙子没线头，缝的也很好,0,0
������nima一辆杜卡迪我用拍别人的，逗我啦？20来万的东西还不至于,1,1
裤子质量还好，就是口袋太小了，装个手机都困难,0,0
丢丢丢疯子你酱紫有意思吗？马上变成狗了！妈卖批的，要骂就来骂，别老吃我吐出来的东西！����,1,1
是正品嗷,0,0
衣服很硬，洗了几次还是掉色很严重,0,0
红红火火恍恍惚惚,0,0
买家真死逼,1,1
泡鱼漫漫沙必我是你爸爸,1,1
衣服非常好��,0,0
袜子异常帅气，还会回来的，超喜欢，弟弟穿上也很帅，凑字数，天气很冷，零下2度，她跟着一群流浪的青年到处旅行，她围着一条旧旧的围巾，戴着已经起球的毛线手套，嘴里还冒着雾气，冷冷的空气，被冻住的河水，还未倒下的枯草，屹立的灯塔，刚升起的太阳，没有一丝暖的温度，一切的都在告诉她，她真的在流浪，连同她的心一起，并且她是幸福的,0,0
也不占空间，比预想中的还要好,0,0
也蛮好吃的��,0,0
呵，死女人，你比以前更蠢！！！,1,1
emm刚拿出来时摸到一手水，有点漏,0,0
物流太慢了，到了目的地还搁置了一整天,0,0
也没24小时内发货，还要自己催，揽件也很慢,0,0
桌子很结实，表面很光滑，快递包装的很严实,0,0
你就是没在我眼前在这我非整死你个沟壁养的浣亿,1,1
买了优惠卷，划算，还送了眼影,0,0
會再買,0,0
質量非常好，與賣家描述的完全一致，真的很喜歡，發貨速度非常快，包裝非常仔細，嚴實，物流公司服務態度很好，運送速度很快,0,0
跟实体店一样，价格便宜一些，上身效果还不错,0,0
大小挺合身,0,0
小孩一米三，好用的,0,0
货物收到了，客服服务也不错，及时联系安装师傅,0,0
老公说很迷人,0,0
我去。还干掉九成PC.干你佬姆PC和PAD有可比性？称重量都比牛，。,1,1
衣服已经收到了，给家人买的她很喜欢，说穿上去也挺舒服的,0,0
没用上，留着以后再用吧,0,0
特洛伊是大傻子。,1,1
纯棉的，比较宽松，休闲,0,0
一个桫牝就是如此，还给人家好评的那么好听，要是每个跟祢一样的桫牝，卖家早赚翻了,1,0
首先颜值高，第二送货快,0,0
花了半天时间,0,0
屁话，我去注销多少次，他们不给办,1,1
粉粉的好喜欢,0,0
薄款棉袄，蓝色还蛮好看,0,0
快递过程中小碗烂掉了，店家直接补发，挺好玩的小孩子非常喜欢,0,0
车膜很好，一开始还怕比较黑看不见，坐进里面看其实不用担心，店里师傅贴的挺好，人多，干等了半小时才贴，膜挺好，隔热感觉到，虽然前后三个小时等得久，郁闷,0,0
洗了洗，不掉色,0,0
卖家发货速度也很快，我在别家买了很多次这个皮肤了，都是没中，今天也是没抱多大希望的，试下手气，3次就出了，感谢老板借我手气，这次狂叼了，我兑换的速度很快，终于被我兑换到了，是我在淘宝买东西，最满意的1次，谢谢老板的皮肤,0,0
颜色不错哦如果是防水的那种料子就好了,0,0
超级薄，还很耐用,0,0
包装太差了，买了两盒收到的时候盒子都是烂的,0,0
就你这沟壁样还开淘宝店？,1,0
收到了好喜欢，卖家还送了小礼物,0,0
做尼码币沟壁品牌,1,1
店家还送了手机壳跟小礼物很意外，下次一定还来买,0,0
十几块钱当买个拖把擦地板吧，质量一点都不好亲们可别上当,0,0
屁。。曹泥马个大煞笔[哭泣],1,1
一下在这买了几样东西，这个是我用的最假的，这个香味和包装的颜色都和之前代购买的不一样，纸张也没有之前买的好，无奈,0,0
东西非常好&lt;/em&g，质量通通过关，拿着很高大上，孩子非常喜欢，和图片上一样，实物和图片上一模一样，大家尽可以放心购买,0,0
老師推薦的店鋪，絕對好評,0,0
626买的终于收到了，超级优惠，全家去海边都可以用，感谢老山羊和vk给大家淘的各种好货,0,0
库总大傻蛋，既使换，都换华为了！,1,1
人家去老挝做公益也是有目的滴…要不人家那么傻跑那个穷乡僻壤干嘛……,1,1
码的，你私春？,1,0
中国的部分国情就像国产电视剧，刚开始演就已经知道结局了。。。一点都没有新意，赈灾款不被挪用才是见鬼呢。。。,1,1
质量还不错的，我买大了一个码，穿起来会更显脚瘦嘻,0,0
已经第n个了,0,0
灯不错，店家很有耐心,0,0
快递相当蜡鸡，书全都揉皱了，一本还破了,1,0
皮薄味道酸酸甜甜，特别的好吃，水分很足，夏天很喜欢吃这种橙子，而且也特别的新鲜，比在超市买的那种是新鲜一些，皮也都不厚，果子头是很大，不过一箱也挺多，而且也没少称，我很喜欢吃，就连客服态度也是打十分满意，没毛病，关注了，以后就在这家店买水果了，大赞,0,0
可惜遗憾的是，穿了一天后我发现不是纯棉的，大概57%棉，质感还是没有纯棉的好,0,0
有些人的评论才是变态。我是异性恋，但是尊重别人的性取向和生活方式。不伤害别人，按照自己的本心生活有什么错。,1,0
到的时候是散的，装起来挺麻烦的，电线插头放里面就不会那么丑,0,0
题民工你明知道自己,0,1
痞子?老子让你不要一天啮尸米你不听你看现在傻了吧,1,1
我喜欢这款，我试穿了一下，正好，谢谢啊,0,0
驾菂，4S店把我们这些消费者的礼品挂网上卖。搞得我们消费者活动没领到车模用两个枕头打发我们/:>W<,1,1
枕头收到了，双包装，准备晚上试试，要是有配套套子就更完美辣,0,0
曹。泥。马,1,1
实体店卖180，网上才卖60多,0,0
以下凑字：有这样一份事业，看看适不适合您或者您身边的朋友，：，因为是为自己创业，做什么都心甘情愿，汗流浃背，也喜出望外，有孩子的家长，更可以带孩子一起进步，这里的孩子们，各个都拥有自律，坚定，毅力，好学，独立，积极的精神，因为都是父母在这里锻炼的优秀品质传承给自己的孩,0,0
大浪逼,1,1
用第二次的时候镜面有点起雾，镜面不清楚,0,0
收到马上装起来，很不错跟原装的一样,0,0
很好看很喜欢嘻～,0,0
就是罩杯拍小了，凑合能穿,0,0
特别好，不累脚，建议拍大一驾菂，很透气��,0,0
唯一美中不足的是背带上少了一个扣,0,0
【红包】明天上学，哈麻批,1,1
爱护凯主播啊！还记得你跟我说过你玛当了一辈子小姐给你攒下点钱，给你当嫁妆吗？你玛不容易啊，这么老了还出去卖b！你可要好好孝顺啊！???,1,1
话费余额很快到账,0,0
结果邻居看到喜欢了，就给了邻居,0,0
而且打包带都没有送,0,0
听歌不逼逼,1,1
猜尼码币，贰币浣亿,1,1
光溜溜的脑袋脖子，可爱ớ，₃ờ,0,0
上次买了肤色的，超好穿，又买黑色,0,0
净水器收到了，刚刚安装好，安装起来非常简单，我家以前安装了净水器，插上管子就可以了，过滤效果很好，很彻底，经过过滤的水口感要比以前好的多，经过余氯检测，几乎不含余氯，谢谢卖家推荐这么好的宝贝，店家服务非常好，特别是莎莎，好有耐心,0,0
很好的味道,0,0
质量太好了，孩子特别喜欢，没什么味儿,0,0
第一次买国产篮球鞋，挺好看，夏天穿有点热，物流体验不好,0,0
管子够长，出水均匀，底座结实,0,0
揌拴家的卖花㸞仔，卖假货,1,0
我骂你了？我得罪你了？没有吧你砣马脑子是不是傻我今天就撕你,1,1
充电宝质量不错，耐用，坏的充电宝电池废物利用，划算，很好的老板,0,0
果子很新鲜，个头也大，切开一个硬果，里面颜色红红的很漂亮，吃起来也是甜中带果酸，相信催熟后肯定会很甜,0,0
买家，傻.逼的,1,1
还是原来的味道，好吃快递来的贼快,0,0
你是我的傻儿子,1,1
杀比，安卓机跟苹果比,1,1
石头跟描述的不太够，狗粮基本都是铜火，材料一般般，科技号，理智购买啊,0,0
非常好的东西，会推荐给我的亲朋好友的,0,0
外面超级油，就是超级小一瓶，一下就吃完了,0,0
大家看看我买的这是什么，我有110几斤，在看看商家给我发的货能穿吗大家以后别上当啦，便宜就是货,0,0
傻货,1,1
丢丢丢疯子闹闹牌比基尼，你不合格啊,1,1
跟店家联系，说是男孩子用，尽量不要粉色，结果到货多一半全是粉色，以前在这家买过此物品，同样的价格，但这次的格子超级薄，跟之前的没法相比,0,0
你就一煞b我kao尼码妈,1,1
内裤弹性很好，很薄很透气,0,0
鞋子没有什么异味，店家服务很周到，鞋子质量很好的哦,0,0
和我想要的不一样颜色但是也可以一般吧不是很好看的有点偏，深,0,0
【红包雨】没见过特效的傻资,1,1
楼主真有病,1,1
服务特别好，店主详细解说，怎么服用等等，挺好吃，回头吃完再买,0,0
支持奥巴马，老疯枸滚下去:,1,1
用祢砣杩就事论事？峔几？桫牝！,1,0
老板超级nice，很有心,0,0
包裹严实，宝贝塑封得很好，充电遥控款用起来特别方便，用起来效果特别好,0,0
别买，真心不好掉的那些线，都没发穿，衣服质量真的差，不行,0,0
商家态度很好,0,0
电脑桌质量不错，非常结实牢固,0,0
收到货只有13斤，有几处腐烂，客服补贴了10元，13斤大果，果肉剥了四斤半，客服说出果率已经很高了,0,0
回购的,0,0
挺顺滑,0,0
馊了的腌咸鱼味道。装逼用的。,1,0
㸞仔工会，㸞仔真多什么东西,1,0
��闹闹��笑死，你还叫人呢，把你狗朋友叫来呗？哈哈,1,1
那个邪恶组织看来离灭亡不远了，哈哈哈,1,1
没狗粮了，没了不用你被车撞，都怪我，留不住人,1,1
陀杩D睡不着?,1,1
东西是隔壁邻居推荐给我的，她说很好用，让我也买回来试试，所以就买了,0,0
喵人粉,0,1
很迷你的小冰箱，不占地方，大爱��刚好放我的美睫产品色料,0,0
差评！桫资一样自己送错地方态度还不好什么鬼啊搞的是我自己弄错了地址一样,1,0
刷屏狗舔龙根,1,1
?闹闹?你全家都是哦～哈哈,1,1
真泥马丑[天使],1,1
还没穿看上去不错,0,0
透气性不太好，容易粘身,0,0
布料挺可爱的，也还比较结实的，拿来做口金包里布还是比较合适的,0,0
第二次买这家店的鞋子了，店铺已收藏,0,0
哈很好,0,0
怎么看都像贴耳说话！无良媒体,1,0
这种人就不能放出来，出来还得祸害人间，狗改不了啮尸米，都未成年女孩都下手，你没女儿吗，简直畜生不如[发怒][发怒],1,1
是正品机油，去店里换的机油，给了点换机，油的费用，机油很划算，换号之后车子开起来感觉，动力都足了，不知道是不是心理作用，满，意,0,0
收到货后感觉有些失望，可能是期望太大了吧，果然照片和实物还是有一些区别的，黑边框很抢眼，边框太宽，背面看着还好，正面看着就很难看，如果手机是黑色的可能会好一些，边框很硬，手机装上去之后笨重，摁着吃力，购物需慎重，虽然很不满意，不然又是各种电话，其实我觉得淘宝的考核标准挺不合理的，中差评只是针对这个货物而已，店家做生意也不容易,0,0
土狗。老子这会儿有点闲得慌，来撕逼啊。蜡鸡。胎盘。你还在搬砖？来来来，这样喷着不过瘾，来加微信喷。大丑逼，让你惹老子。干你亲杩。干的你杩杩下面流脓。,1,1
美容床罩收到了，特意用了下才来评价，大小尺寸也合适，店里用这个颜色也好看，没色差,0,0
为了凑50字,0,0
你砣马b飘了啊，我不是你老婆了吗，晕炮，楼主这个二比，天天挨骂,1,1
吐逼,1,1
东西小巧大方,0,0
买来对付菲共的直升机美加还这么多屁话，可见其反共立场并不坚定，不知我们卖不卖呢？,1,1
曰你逼，不喜欢穿内衣,1,1
值得买��,0,0
这波不亏，客服挺好的,0,0
一下优惠了一道菜的钱,0,0
东西不错的,0,0
老板非常负责~半夜帮我就职~辛苦了~,0,0
用了几天才来评价～东西挺好的，还挺保湿的～快递也很快～,0,0
蓝月亮一如既往的好，好评,0,0
宝贝收到安装，感觉不错好评，期望能用的久,0,0
就是朗读，为什么扯那么多?为什么不看到积极的一面?,1,1
棒不棒,0,0
内裤已经收到，和店家描述的一致,0,0
壁纸特别的漂亮，颜色也没色差,0,0
款色很好看，不是硬的那种纱线面料，是透气的面料，现在30多度穿也可以哦,0,0
第一次发豆芽成功了,0,0
说实话，我买错了，我想要的是薄的，买了三个厚的,0,0
一秒到账，坤坤宝贝妈妈爱你,0,0
狗杂碎,1,1
宝贝物流很快,0,0
刚刚洗澡��用过，洗发露洗完头发特别干，护发素生姜的味道太大,0,0
跟柜台买的一样，柜台150,0,0
买了几次,0,0
硬盘包装很赞，厚厚的包裹，质量良心价格实惠，通电时间为0，黑色企业级硬盘，希望可以多服役几年,0,0
没什么好评价的，买过两三次了，中规中矩,0,0
泥马逼与其这么难受去跳楼吗，轻轻一跳泥马肉酱荣就在底下等你,1,1
耳机收到了，孩孑试试说行好用，而且颜色好看,0,0
支架一看品质就很好，比之前买过的都要好，接口各处都过关，同时买的卡通遮阳帘也很意外，比图片看起来更大，更厚，而且没有塑料味儿，印刷也好,0,0
音响质量非常好,0,0
下面选赖清德！你们再倒霉8年得。那小子也是个骗子，,1,1
挺好的内裤，便宜实惠,0,0
我只能说太佩服这个年轻女子及家人的心理素质了，恶毒到如此地步,1,0
内桫牝，给谁发的都是科鲁兹的,1,0
美白有效果，就是用完干，需要补水,0,0
需要的时候再来,0,0
纯棉面料，不是很厚，很适合现在的天气用，洗了不会褪色起球很满意,0,0
㸞仔，付款后，迟迟不能充值到账，卖家也不回复,1,0
摸着手感不错，颜色和图片一样，透气性也很好，客服态度为很好,0,0
已安装成功感谢冷工的细心教程,0,0
上档次，戴起来特别好看，和实体店一样的,0,0
辣鸡东西，老子都懒得退了，非静音说成，低配高卖，*你吗,1,1
价位合理,0,0
非常有耐心，送的东西宝宝狠喜欢，谢谢啦，祝生意兴隆哈,0,0
你个骚货,1,1
给宝宝做枕头是不错的选择,0,0
做发糕，蛋糕，做龟苓膏很好,0,0
好像第三次买了吧，推荐给朋友好几次了，挺好的味道，然后又不贵,0,0
不错好评，一如既往的给力，一如既往的快,0,0
我是我们村第一个在网上上买东西的人，这里大部分人是不网购的，他们买东西价格一般不超过五块，听说我在网上买东西后，整个村都震惊了，村长跑到我家里对我爸说我是不是疯了，说这日子没法过了，让我出去租房子住，面对重重压力，我坚持要买，我相信我这个月的工资不会白花，终于快递我怀揣着激动的心情，颤抖的打开包裹，那到了，感觉我的眼都要亮瞎了，啊..这颜值，这一霎那，手感，这质量，只怪我读书少，无法用华丽的语言整个村都来形容它，我举着它，骄傲的站在村口，他们就跳井，吓得我赶紧收起宝贝，挤出人群落荒而逃，为测试我立刻去我们村高达100米山上村长家客厅里宝贝效果，用完后，在全村人羡慕的目光中，仰首挺，胸扬长而去……,0,0
你要不敢你就是个穷键逼,1,1
一转二,0,0
去年就买过这款月饼，非常美味，今年就提前预订了两盒，虽然等了三个礼拜，还几经波折，但结果还是挺满意的，处理问题很及时，月饼真的很好吃,0,0
款式时尚好看，安装简单方便，客服服务周到,0,0
客服也非常耐心的解决问题，鹿晗家具我爱去啊ktv呢路口dj脱出我的天使君麻吕我饿几天图吗货都戚家军人去楼空即可不同咯无赖嗦粉up哈啊拖后期low天赋摊铺机啦产品很好，鹿晗家具我爱去啊ktv呢路口dj脱出我的天使君麻吕我饿几天图吗货都戚家军人去楼空即可不同咯无赖嗦粉up哈啊拖后期low天赋摊铺机啦,0,0
没使用，外观颜色可以，老牌子，应该错不了,0,0
为什么还要发这个图出来害人？？？,1,1
不是我想要的款式,0,0
太**缺的了，居然是打火机气体，天打雷劈的东西，拿钱*去吧,1,1
果真和卖家说的一模一样，以后会经常来的喔，希望卖家生意越做越棒颜色我非常喜欢的确是大容量的，外形也比较大方，非常好的产品，我的朋友们看了都特别喜欢超级可爱跟图一样产品越来越丰富了，从原来的主打坚果类食品发展到现在应有尽有，让人目不暇接，选择余地越来越大了,0,0
南易��人妖,1,1
马云死孙！养一帮子坑货！骗子,1,1
布的纹路太粗,0,0
这个，怎么戴,0,0
祝你全家死光，手机壳已经给你爸爸烧过去了，省的你爸爸在地下找小三没得用！骗子商家！必须投诉，上次好心好意没投诉你，你还上脸了,1,1
狗狗很喜欢玩~,0,0
又一个撕全家女性被轮奸的砸中卖家/:^_^出门被车撞死_,1,1
还没用不知道效果用了再说,0,0
非常滋润不干,0,0
304不锈钢,0,0
砣杩钮屍了,1,0
砣马生出来跟猴子似的,1,1
面料不太像棉，不过穿着很好看,0,0
紫色的幸运草很漂亮，没几天就发芽了，特别好养，而且越长越多，天天开花，已经第二次购买了,0,0
一箱14个的，炼乳味很浓，适合上学带着什么的，很香甜,0,0
桫资啊！慎入,1,1
很大，作为高中学生装书刚刚好，店家还给了贺卡，很细心的,0,0
位置好，房间略小可以理解,0,0
一个里面三个,0,0
梯子多处掉漆，还有锈斑擦不掉，像是沉仓货，虽不影响使用，但令人心情不爽，赠品倒是实用,0,0
明明选的浅紫色，是我对颜色不了解还是说这不是红色，就是个浅紫色,0,0
包装非常干净，良品铺子更实惠，大家快选购吧，实物很漂亮，跟图片上的一样，面包还不错挺软的，日期是近期的吃着放心满满一大，箱子，各种各，样的零，食，都有，生产日，期都是，近期的，满满，的惊喜，一性价比高，吃的根本停不下来，味道非，常正，从原来的主打坚果类食品发展到现在应有尽有，让人目不暇接，选择余地越来越大了，包裹一拿回来就拆开拿出来吃了，口感好，适合我的口味，怎么吃都吃不腻,0,0
好用砣杩老宓吧，卧糟砣杩的,1,0
（红包雨？）偷塔撕全家曹泥马,1,1
好吃��敢吃吗，给你我也嗯哪个好看点背包邮吗亲子分,0,0
感觉一般般吧，这个价钱也就这样了,0,0
比预想的更好，不漏气，服务真的好，客服真的很耐心,0,0
可以买，卖东西很好，又方便,0,0
衣服小了，175身高165体重不适合2xl的,0,0
【读书场】关于林徽因带你装淧带你飞,1,1
乖，我可没生过你这样的蠢女儿。见谁都喊妈这样真的好吗？即使你喊了我一声妈，我也不会管你这个大小便失禁的啊哈哈哈哈/:815/:815,1,1
从来没有收到过这样的裤子，后面撕都坏了，也是头一次这么给不好的评论,0,0
有几个烂的，没称过够不够重,0,0
全五星,0,0
产品与描述相符，挺精致，用后再追评吧,0,0
盒子里面的胶粘的不太紧，但是这个耳机的话应该是原装的音质也还可以吧，没有特别突出的地方，但是也对得起这个价格，电量的话大概可以用四五个小时是正常的，这个耳机的形状带久了，耳朵可能会有点疼，但是这个比较适合跑步，用,0,0
